species,cell,scenario,delta
Aesculus californica,7,2061-2080_rcp85_CanESM2,-0.321461446583271
Aesculus californica,8,2061-2080_rcp85_CanESM2,-0.17942918837070465
Aesculus californica,9,2061-2080_rcp85_CanESM2,-0.38977692648768425
Aesculus californica,10,2061-2080_rcp85_CanESM2,-0.45301230251789093
Aesculus californica,11,2061-2080_rcp85_CanESM2,-0.36424145847558975
Aesculus californica,12,2061-2080_rcp85_CanESM2,-0.16926907002925873
Aesculus californica,13,2061-2080_rcp85_CanESM2,-0.32816815562546253
Aesculus californica,14,2061-2080_rcp85_CanESM2,-0.3577196765691042
Aesculus californica,15,2061-2080_rcp85_CanESM2,-0.34867978282272816
Aesculus californica,16,2061-2080_rcp85_CanESM2,-0.37386432476341724
Aesculus californica,17,2061-2080_rcp85_CanESM2,-0.3811771422624588
Aesculus californica,18,2061-2080_rcp85_CanESM2,-0.3551405370235443
Aesculus californica,19,2061-2080_rcp85_CanESM2,-0.257600799202919
Aesculus californica,1,2061-2080_rcp85_CNRM-CM5,-0.2426939159631729
Aesculus californica,2,2061-2080_rcp85_CNRM-CM5,-0.2113894298672676
Aesculus californica,3,2061-2080_rcp85_CNRM-CM5,-0.20603010803461075
Aesculus californica,4,2061-2080_rcp85_CNRM-CM5,-0.1888679787516594
Aesculus californica,5,2061-2080_rcp85_CNRM-CM5,-0.2171120047569275
Aesculus californica,6,2061-2080_rcp85_CNRM-CM5,-0.25005531311035156
Aesculus californica,7,2061-2080_rcp85_CNRM-CM5,-0.24829906225204468
Aesculus californica,8,2061-2080_rcp85_CNRM-CM5,-0.2167700007557869
Aesculus californica,9,2061-2080_rcp85_CNRM-CM5,-0.22617432475090027
Aesculus californica,10,2061-2080_rcp85_CNRM-CM5,-0.2674831449985504
Aesculus californica,11,2061-2080_rcp85_CNRM-CM5,-0.25713737308979034
Aesculus californica,12,2061-2080_rcp85_CNRM-CM5,-0.19098350405693054
Aesculus californica,13,2061-2080_rcp85_CNRM-CM5,-0.2557833269238472
Aesculus californica,14,2061-2080_rcp85_CNRM-CM5,-0.26626094430685043
Aesculus californica,15,2061-2080_rcp85_CNRM-CM5,-0.26856525242328644
Aesculus californica,16,2061-2080_rcp85_CNRM-CM5,-0.25914791226387024
Aesculus californica,17,2061-2080_rcp85_CNRM-CM5,-0.27239447832107544
Aesculus californica,18,2061-2080_rcp85_CNRM-CM5,-0.25488755106925964
Aesculus californica,19,2061-2080_rcp85_CNRM-CM5,-0.21930716931819916
Aesculus californica,1,2061-2080_rcp85_HadGEM2-ES,-0.2811691574752331
Aesculus californica,2,2061-2080_rcp85_HadGEM2-ES,-0.2624284829944372
Aesculus californica,3,2061-2080_rcp85_HadGEM2-ES,-0.2645769864320755
Aesculus californica,4,2061-2080_rcp85_HadGEM2-ES,-0.27283051796257496
Aesculus californica,5,2061-2080_rcp85_HadGEM2-ES,-0.3304881229996681
Aesculus californica,6,2061-2080_rcp85_HadGEM2-ES,-0.34004347026348114
Aesculus californica,7,2061-2080_rcp85_HadGEM2-ES,-0.24677179753780365
Aesculus californica,8,2061-2080_rcp85_HadGEM2-ES,-0.18839305639266968
Aesculus californica,9,2061-2080_rcp85_HadGEM2-ES,-0.3439266309142113
Aesculus californica,10,2061-2080_rcp85_HadGEM2-ES,-0.35779526829719543
Aesculus californica,11,2061-2080_rcp85_HadGEM2-ES,-0.2598966211080551
Aesculus californica,12,2061-2080_rcp85_HadGEM2-ES,-0.1319780945777893
Aesculus californica,13,2061-2080_rcp85_HadGEM2-ES,-0.3122709207236767
Aesculus californica,14,2061-2080_rcp85_HadGEM2-ES,-0.3316459581255913
Aesculus californica,15,2061-2080_rcp85_HadGEM2-ES,-0.3275947868824005
Aesculus californica,16,2061-2080_rcp85_HadGEM2-ES,-0.32880251854658127
Aesculus californica,17,2061-2080_rcp85_HadGEM2-ES,-0.3160044997930527
Aesculus californica,18,2061-2080_rcp85_HadGEM2-ES,-0.2619021236896515
Aesculus californica,19,2061-2080_rcp85_HadGEM2-ES,-0.16621260344982147
Aesculus californica,1,2061-2080_rcp85_MIROC5,-0.08478143811225891
Aesculus californica,2,2061-2080_rcp85_MIROC5,-0.007123798131942749
Aesculus californica,3,2061-2080_rcp85_MIROC5,0.0035968124866485596
Aesculus californica,4,2061-2080_rcp85_MIROC5,0.03351905941963196
Aesculus californica,5,2061-2080_rcp85_MIROC5,-0.02170461416244507
Aesculus californica,6,2061-2080_rcp85_MIROC5,-0.08271893858909607
Aesculus californica,7,2061-2080_rcp85_MIROC5,-0.08721226453781128
Aesculus californica,8,2061-2080_rcp85_MIROC5,-0.07528001070022583
Aesculus californica,9,2061-2080_rcp85_MIROC5,-0.04128378629684448
Aesculus californica,10,2061-2080_rcp85_MIROC5,-0.13683241605758667
Aesculus californica,11,2061-2080_rcp85_MIROC5,-0.12321281433105469
Aesculus californica,12,2061-2080_rcp85_MIROC5,-0.04769927263259888
Aesculus californica,13,2061-2080_rcp85_MIROC5,-0.05605590343475342
Aesculus californica,14,2061-2080_rcp85_MIROC5,-0.06525224447250366
Aesculus californica,15,2061-2080_rcp85_MIROC5,-0.049157559871673584
Aesculus californica,16,2061-2080_rcp85_MIROC5,-0.06455054879188538
Aesculus californica,17,2061-2080_rcp85_MIROC5,-0.09864464402198792
Aesculus californica,18,2061-2080_rcp85_MIROC5,-0.09998255968093872
Aesculus californica,19,2061-2080_rcp85_MIROC5,-0.08168619871139526
Arbutus menziesii,1,2061-2080_rcp45_CanESM2,-0.7157498598098755
Arbutus menziesii,2,2061-2080_rcp45_CanESM2,-0.649469256401062
Arbutus menziesii,3,2061-2080_rcp45_CanESM2,-0.6464104652404785
Arbutus menziesii,4,2061-2080_rcp45_CanESM2,-0.5418782234191895
Arbutus menziesii,5,2061-2080_rcp45_CanESM2,-0.28983408212661743
Arbutus menziesii,6,2061-2080_rcp45_CanESM2,-0.22193801403045654
Arbutus menziesii,7,2061-2080_rcp45_CanESM2,-0.33860260248184204
Arbutus menziesii,8,2061-2080_rcp45_CanESM2,-0.5349916219711304
Arbutus menziesii,9,2061-2080_rcp45_CanESM2,-0.2807651162147522
Arbutus menziesii,10,2061-2080_rcp45_CanESM2,-0.14001911878585815
Arbutus menziesii,11,2061-2080_rcp45_CanESM2,-0.1844954490661621
Arbutus menziesii,12,2061-2080_rcp45_CanESM2,-0.30948883295059204
Arbutus menziesii,13,2061-2080_rcp45_CanESM2,-0.5968014299869537
Arbutus menziesii,14,2061-2080_rcp45_CanESM2,-0.5203652083873749
Arbutus menziesii,15,2061-2080_rcp45_CanESM2,-0.5258809626102448
Arbutus menziesii,16,2061-2080_rcp45_CanESM2,-0.4448992609977722
Arbutus menziesii,17,2061-2080_rcp45_CanESM2,-0.36180853843688965
Arbutus menziesii,18,2061-2080_rcp45_CanESM2,-0.32036149501800537
Arbutus menziesii,19,2061-2080_rcp45_CanESM2,-0.21960121393203735
Arbutus menziesii,1,2061-2080_rcp45_CNRM-CM5,-0.4956258237361908
Arbutus menziesii,2,2061-2080_rcp45_CNRM-CM5,-0.380534827709198
Arbutus menziesii,3,2061-2080_rcp45_CNRM-CM5,-0.370402455329895
Arbutus menziesii,4,2061-2080_rcp45_CNRM-CM5,-0.2572581171989441
Arbutus menziesii,5,2061-2080_rcp45_CNRM-CM5,-0.10596209764480591
Arbutus menziesii,6,2061-2080_rcp45_CNRM-CM5,-0.0679473876953125
Arbutus menziesii,7,2061-2080_rcp45_CNRM-CM5,-0.13298481702804565
Arbutus menziesii,8,2061-2080_rcp45_CNRM-CM5,-0.28896236419677734
Arbutus menziesii,9,2061-2080_rcp45_CNRM-CM5,-0.09254348278045654
Arbutus menziesii,10,2061-2080_rcp45_CNRM-CM5,-0.04226773977279663
Arbutus menziesii,11,2061-2080_rcp45_CNRM-CM5,-0.06601971387863159
Arbutus menziesii,12,2061-2080_rcp45_CNRM-CM5,-0.13680428266525269
Arbutus menziesii,13,2061-2080_rcp45_CNRM-CM5,-0.3104013204574585
Arbutus menziesii,14,2061-2080_rcp45_CNRM-CM5,-0.23870426416397095
Arbutus menziesii,15,2061-2080_rcp45_CNRM-CM5,-0.24473494291305542
Arbutus menziesii,16,2061-2080_rcp45_CNRM-CM5,-0.1855871081352234
Arbutus menziesii,17,2061-2080_rcp45_CNRM-CM5,-0.15932977199554443
Arbutus menziesii,18,2061-2080_rcp45_CNRM-CM5,-0.12282013893127441
Arbutus menziesii,19,2061-2080_rcp45_CNRM-CM5,-0.08874565362930298
Arbutus menziesii,1,2061-2080_rcp45_HadGEM2-ES,-0.6873510777950287
Arbutus menziesii,2,2061-2080_rcp45_HadGEM2-ES,-0.600721925497055
Arbutus menziesii,3,2061-2080_rcp45_HadGEM2-ES,-0.5989111065864563
Arbutus menziesii,4,2061-2080_rcp45_HadGEM2-ES,-0.4841240346431732
Arbutus menziesii,5,2061-2080_rcp45_HadGEM2-ES,-0.24287861585617065
Arbutus menziesii,6,2061-2080_rcp45_HadGEM2-ES,-0.1883007287979126
Arbutus menziesii,7,2061-2080_rcp45_HadGEM2-ES,-0.30075234174728394
Arbutus menziesii,8,2061-2080_rcp45_HadGEM2-ES,-0.5231890380382538
